ID,Name,Category,Priority,Phase,Epic,Status,Description
F-072,System Health,Admin,P1,2,E-11,Planned,Infrastructure monitoring
F-073,Certificate Templates,Admin,P1,3,E-12,Planned,Upload/edit templates
F-074,Ambassador Management,Admin,P2,3,E-13,Planned,Approve ambassadors and payouts
F-075,Discussion Forums,Community,P2,4,E-14,Planned,Per-course discussion threads
F-076,Blog/Content Marketing,Content,P2,4,E-14,Planned,SEO-optimized blog posts
F-077,Mobile App,Platform,P2,4,E-14,Planned,React Native iOS/Android
F-078,Gamification,Engagement,P2,4,E-14,Planned,Badges and leaderboards
F-079,Multi-Language,Platform,P2,4,E-14,Planned,English + Urdu support
F-080,Offline Mode,Platform,P3,4+,—,Future,PWA offline content access
F-081,AI Tutor,Assessment,P3,4+,—,Future,AI-powered question explanations
F-082,Live Classes,Content,P3,4+,—,Future,Zoom/Meet integration
F-083,Study Groups,Community,P3,4+,—,Future,Student-created study groups
F-084,Parent Dashboard,Platform,P3,4+,—,Future,Parent view of student progress
F-085,Institution Accounts,Platform,P3,4+,—,Future,University/hospital bulk licensing
F-086,API for Partners,Platform,P3,4+,—,Future,Public REST API
F-087,White-Label,Platform,P3,4+,—,Future,Multi-tenant deployment
F-088,Adaptive Learning,Assessment,P3,4+,—,Future,AI-adjusted difficulty
F-089,Proctored Exams,Assessment,P3,4+,—,Future,Webcam monitoring
F-090,Clinical Case Studies,Content,P3,4+,—,Future,Interactive case simulations
F-091,Digital Notes,Content,P3,4+,—,Future,In-app note-taking
F-092,Flashcard Sharing,Community,P3,4+,—,Future,Share custom flashcard decks
F-093,Progress Sharing,Community,P3,4+,—,Future,Social media badges
F-094,Email Marketing,Communication,P2,3,—,Planned,Drip campaigns and newsletters
F-095,SMS Notifications,Communication,P3,4+,—,Future,SMS alerts for key events
F-096,Guideline Videos,Content,P1,2,—,Planned,Admin-uploaded guideline videos
F-097,Trial Accounts,Identity,P1,2,—,Planned,Time-limited free trial
F-098,Bulk User Import,Admin,P2,3,—,Planned,CSV import for institutions
F-099,Custom Reports,Admin,P2,3,—,Planned,Configurable analytics reports
F-100,Webhook Integration,Platform,P3,4+,—,Future,Outbound webhooks for events
F-101,Single Sign-On (SSO),Identity,P3,4+,—,Future,SAML/OIDC for institutions
F-102,Data Export (GDPR),Identity,P2,3,—,Planned,User data export on request
F-103,Account Deletion,Identity,P1,2,—,Planned,Self-service account deletion
