Method,Path,Auth,Role,Module,Description,Request Body,Response,Phase
GET,/api/v1/users/me/payments/{id}/receipt,Authenticated,Student,Payment,Download payment receipt,,200 application/pdf,1
POST,/api/v1/coupons/validate,Authenticated,Student,Payment,Validate coupon code,{code; packageId},200 {valid; discount; message},1
POST,/api/v1/admin/coupons,Authenticated,Admin,Payment,Create coupon,{code; type; value; ...},201 {coupon},1
GET,/api/v1/admin/coupons,Authenticated,Admin,Payment,List coupons,?page&active,200 {items[]; totalCount},1
PUT,/api/v1/admin/coupons/{id},Authenticated,Admin,Payment,Update coupon,{value; isActive; ...},200 {coupon},1
POST,/api/v1/admin/subscriptions,Authenticated,Admin,Payment,Manual subscription grant,{userId; packageId; startsAt; expiresAt},201 {subscription},1
PUT,/api/v1/admin/subscriptions/{id},Authenticated,Admin,Payment,Update subscription,{expiresAt; status},200 {subscription},1
GET,/api/v1/admin/revenue,Authenticated,Admin,Payment,Revenue analytics,?from&to&groupBy,200 {total; mrr; byGateway; byPackage; trend[]},1
GET,/api/v1/enrollments,Authenticated,Student,Enrollment,Get my enrollments,,200 {items[]},1
GET,/api/v1/enrollments/{id},Authenticated,Student,Enrollment,Get enrollment detail,,200 {enrollment; progress; chapters[]},1
POST,/api/v1/enrollments/{id}/chapters/{chapterId}/complete,Authenticated,Student,Enrollment,Mark chapter complete,,200 {progress},1
POST,/api/v1/enrollments/{id}/video-progress,Authenticated,Student,Enrollment,Update video progress,{lectureId; watchedSeconds; totalSeconds},200 {videoProgress},1
POST,/api/v1/bookmarks,Authenticated,Student,Enrollment,Bookmark a chapter,{chapterId; note?},201 {bookmark},1
DELETE,/api/v1/bookmarks/{id},Authenticated,Student,Enrollment,Remove bookmark,,204,1
GET,/api/v1/bookmarks,Authenticated,Student,Enrollment,List my bookmarks,?page,200 {items[]},1
GET,/api/v1/notifications,Authenticated,Any,Communication,Get notifications,?page&unreadOnly,200 {items[]; unreadCount},2
PUT,/api/v1/notifications/{id}/read,Authenticated,Any,Communication,Mark notification read,,200,2
PUT,/api/v1/notifications/read-all,Authenticated,Any,Communication,Mark all read,,200 {updated},2
GET,/api/v1/notification-preferences,Authenticated,Any,Communication,Get notification prefs,,200 {preferences[]},2
PUT,/api/v1/notification-preferences,Authenticated,Any,Communication,Update notification prefs,{preferences[]},200 {preferences[]},2
POST,/api/v1/admin/announcements,Authenticated,Admin,Communication,Create announcement,{title; body; type; targetAudience},201 {announcement},2
GET,/api/v1/chat/rooms,Authenticated,Any,Communication,List my chat rooms,,200 {rooms[]},2
POST,/api/v1/chat/rooms/{id}/messages,Authenticated,Any,Communication,Send chat message,{content},201 {message},2
GET,/api/v1/certificates,Authenticated,Student,Certificate,List my certificates,,200 {items[]},3
GET,/api/v1/certificates/{id}/download,Authenticated,Student,Certificate,Download certificate PDF,,200 application/pdf,3
GET,/api/v1/verify/{code},Public,,Certificate,Verify certificate authenticity,,200 {valid; certificate},3
POST,/api/v1/admin/certificates/templates,Authenticated,Admin,Certificate,Create certificate template,{name; htmlTemplate},201 {template},3
POST,/api/v1/admin/certificates/issue,Authenticated,Admin,Certificate,Manually issue certificate,{userId; templateId; courseId?},201 {certificate},3
GET,/api/v1/admin/certificates,Authenticated,Admin,Certificate,List all certificates,?page&userId,200 {items[]; totalCount},3
GET,/api/v1/ambassador/dashboard,Authenticated,Ambassador,Ambassador,Ambassador dashboard,,200 {referrals; earnings; clicks},3
GET,/api/v1/ambassador/referrals,Authenticated,Ambassador,Ambassador,List referrals,?page&status,200 {items[]; totalCount},3
POST,/api/v1/ambassador/payouts/request,Authenticated,Ambassador,Ambassador,Request payout,{amount; method},201 {payout},3
GET,/api/v1/ambassador/payouts,Authenticated,Ambassador,Ambassador,List payouts,?page,200 {items[]},3
POST,/api/v1/admin/ambassadors/{id}/approve,Authenticated,Admin,Ambassador,Approve ambassador,,200 {ambassador},3
PUT,/api/v1/admin/ambassadors/{id},Authenticated,Admin,Ambassador,Update ambassador settings,{commissionRate; status},200 {ambassador},3
GET,/api/v1/admin/ambassadors,Authenticated,Admin,Ambassador,List all ambassadors,?page&status,200 {items[]; totalCount},3
POST,/api/v1/admin/ambassadors/payouts/{id}/process,Authenticated,Admin,Ambassador,Process payout,{transactionRef},200 {payout},3
GET,/api/v1/admin/analytics/overview,Authenticated,Admin,Analytics,Dashboard overview,,200 {registrations; revenue; activeUsers; exams},2
GET,/api/v1/admin/analytics/registrations,Authenticated,Admin,Analytics,Registration trends,?from&to&groupBy,200 {data[]; total},2
GET,/api/v1/admin/analytics/exams,Authenticated,Admin,Analytics,Exam performance stats,?trackId&from&to,200 {attempts; avgScore; passRate},2
GET,/api/v1/admin/analytics/students/{id},Authenticated,Admin,Analytics,Student progress detail,,200 {enrollments; exams; activity},2
GET,/api/v1/admin/analytics/export,Authenticated,Admin,Analytics,Export analytics CSV,?type&from&to,200 text/csv,2
GET,/api/v1/health,Public,,System,Health check,,200 {status; checks[]},1
GET,/api/v1/health/ready,Public,,System,Readiness probe,,200 {ready},1
GET,/api/v1/admin/audit-logs,Authenticated,Admin,System,Query audit logs,?userId&entity&from&to&page,200 {items[]; totalCount},1
GET,/api/v1/admin/system/info,Authenticated,Admin,System,System information,,200 {version; uptime; environment},1
