Entity,Module,Table Name,Primary Key,Key Fields,Relationships,Notes
Enrollment,Enrollment,enrollments,Id (Guid),UserId; CourseId; SubscriptionId; EnrolledAt; CompletedAt; ProgressPercent; LastAccessedAt,"User (M:1); Course (M:1); Subscription (M:1); ChapterProgress (1:M)",Links user to course access
ChapterProgress,Enrollment,chapter_progress,Id (Guid),EnrollmentId; ChapterId; IsCompleted; CompletedAt; TimeSpentSeconds,"Enrollment (M:1); Chapter (M:1)",Tracks per-chapter completion
VideoProgress,Enrollment,video_progress,Id (Guid),EnrollmentId; LectureId; WatchedSeconds; TotalSeconds; IsCompleted; LastPosition,"Enrollment (M:1); Lecture (M:1)",Resume playback support
Bookmark,Enrollment,bookmarks,Id (Guid),UserId; ChapterId; CreatedAt; Note,"User (M:1); Chapter (M:1)",Optional note on bookmark
Question,Assessment,questions,Id (Guid),ExamTrackId; ChapterId; QuestionText; Explanation; DifficultyLevel; IsActive; Tags (JSONB); CreatedAt,"ExamTrack (M:1); Chapter (M:1 optional); Options (1:M); ExamQuestions (1:M)",20000+ MCQs
Option,Assessment,options,Id (Guid),QuestionId; OptionText; IsCorrect; DisplayOrder,"Question (M:1)",4 options per question typically
Exam,Assessment,exams,Id (Guid),ExamTrackId; Title; Description; TimeLimitMinutes; QuestionCount; PassPercentage; IsPublished; ShuffleQuestions,"ExamTrack (M:1); ExamQuestions (1:M); ExamAttempts (1:M)",Exam definition with rules
ExamQuestion,Assessment,exam_questions,Id (Guid),ExamId; QuestionId; DisplayOrder,"Exam (M:1); Question (M:1)",Junction table for exam composition
ExamAttempt,Assessment,exam_attempts,Id (Guid),UserId; ExamId; StartedAt; SubmittedAt; Score; TotalQuestions; CorrectAnswers; TimeTakenSeconds; Status,"User (M:1); Exam (M:1); AttemptAnswers (1:M)",States: InProgress; Submitted; TimedOut; Abandoned
AttemptAnswer,Assessment,attempt_answers,Id (Guid),ExamAttemptId; QuestionId; SelectedOptionId; IsCorrect; TimeTakenSeconds,"ExamAttempt (M:1); Question (M:1); Option (M:1)",Per-question answer record
ReviewCard,Assessment,review_cards,Id (Guid),UserId; QuestionId; EaseFactor; Interval; Repetitions; NextReviewAt; LastReviewedAt,"User (M:1); Question (M:1)",SM-2 spaced repetition data
Notification,Communication,notifications,Id (Guid),UserId; Title; Body; Category; Priority; IsRead; ReadAt; ActionUrl; CreatedAt,"User (M:1)",Categories: System; Payment; Academic; Social
NotificationPreference,Communication,notification_preferences,Id (Guid),UserId; Category; EmailEnabled; PushEnabled; InAppEnabled,"User (M:1)",Per-category toggle
Announcement,Communication,announcements,Id (Guid),Title; Body; Type; TargetAudience (JSONB); PublishedAt; ExpiresAt; CreatedByUserId,"User (M:1 CreatedBy)",Types: Banner; Modal; Inline; Email
ChatRoom,Communication,chat_rooms,Id (Guid),Name; Type; CreatedAt,"ChatParticipants (1:M); ChatMessages (1:M)",Types: DirectMessage; Support; Group
ChatMessage,Communication,chat_messages,Id (Guid),ChatRoomId; SenderUserId; Content; SentAt; EditedAt; IsDeleted,"ChatRoom (M:1); User (M:1)",Soft delete support
Certificate,Certificate,certificates,Id (Guid),UserId; TemplateId; CourseId; ExamAttemptId; CertificateNumber; IssuedAt; PdfUrl; VerificationCode,"User (M:1); CertificateTemplate (M:1); Course (M:1 optional); ExamAttempt (M:1 optional)",Unique verification code
CertificateTemplate,Certificate,certificate_templates,Id (Guid),Name; HtmlTemplate; IsActive; CreatedAt,"Certificates (1:M)",QuestPDF template definitions
Ambassador,Ambassador,ambassadors,Id (Guid),UserId; ReferralCode; CommissionRate; Status; TotalEarnings; TotalReferrals; ApprovedAt,"User (1:1); Referrals (1:M); Payouts (1:M)",States: Pending; Active; Suspended
Referral,Ambassador,referrals,Id (Guid),AmbassadorId; ReferredUserId; PaymentId; Commission; Status; CreatedAt,"Ambassador (M:1); User (M:1); Payment (M:1)",States: Pending; Confirmed; Paid
Payout,Ambassador,payouts,Id (Guid),AmbassadorId; Amount; Method; Status; RequestedAt; ProcessedAt; TransactionRef,"Ambassador (M:1)",States: Requested; Processing; Completed; Failed
AuditLog,Admin,audit_logs,Id (long),UserId; EntityType; EntityId; Action; OldValues (JSONB); NewValues (JSONB); IpAddress; UserAgent; Timestamp,"User (M:1)",EF Core interceptor auto-populates
FileAsset,Content,file_assets,Id (Guid),FileName; ContentType; SizeBytes; StoragePath; BucketName; UploadedByUserId; CreatedAt,"User (M:1)",S3-compatible object storage reference
